Заголовок;Текст;Прогноз
"На отпуске поставили ""Южный Крест"": Разорился еще один туроператор";"Череда банкротств, начавшаяся летом, продолжается и в бархатный сезон. От нового краха пострадали не меньше 30 тысяч человек Да уж, такие сюрпризы сейчас не то что каждую неделю - через день! Фото: РИА Новости. ""Подарки для туристов! Новый сюрприз каждую неделю!"" - яркая реклама на сайте ""Южного Креста"" сейчас выглядит как издевка. Вечером 10 сентября туроператор объявил, что прекращает работу. Да уж, такие сюрпризы сейчас не то что каждую неделю - через день! В понедельник лопнул ""Солвекс-Турне"", в среду - ""Южный Крест"". Вот такой вот бархатный сезон после жаркого лета, когда разорился десяток российских туркомпаний. Отпуск испорчен почти у ста (!) тысяч россиян. Что случилось с ""Южным Крестом""? В официальном сообщение говорится, что виновато ""сильное падение спроса на фоне банкротства крупнейших туроператоров"". И вряд ли компания пытается переложить ответственность на своих коллег - по бизнесу, а теперь и по проблемам. После краха ""Невы"" и ""Лабиринта"" спрос на услуги турфирм действительно резко упал - в августе, в самый разгар сезона отпусков, за путевками пришли на 25% меньше россиян, чем в июле. Такие цифры приводит исполнительный директор Ассоциации туроператоров России Майя Ломидзе. Люди потеряли доверие, побоялись остаться без денег и отпуска - все логично и предсказуемо. А 25% клиентов - это очень ощутимо. Туроператоры остались без денег, на которые рассчитывали, заказывая чартеры в начале сезона, заключая контракты с гостиницами, получая кредиты... И вот - вторая волна банкротств. Не ошиблись эксперты, когда предрекали: банкротство ""Солвекс-Турне"" - не последнее, осень для туристического рынка будет тяжелой. Если уж лето не все пережили, то чего ждать о межсезонья! ""Южный Крест"" работал с 1998 года и входил в десятку крупнейших туркомпаний. Бизнес вел смело, открывал новые направления, запускал рейсы на экзотические курорты. Во многом благодаря ""Южному Кресту"" российские туристы начали ездить в Мексику - появились прямые чартеры Москва - Канкун. ""Южный Крест"" отправлял путешественников и на другие солнечные пляжи: Греция, Иордания, остров Хайнань, Доминикана, Куба... Впрочем, слухи о финансовых проблемах ""Южного Креста"" ходили давно. Но компания как-то выкручивалась. В минувшие выходные слухи превратились в официальные предупреждения Ростуризма: авиакомпания ""Ютэйр"" может отменить рейсы ""Южного Креста"" на курорты Греции и Китая. Самолеты все же улетели, хотя некоторые и с задержкой на сутки. Но, похоже, на этом силы у ""Южного Креста"" и закончились. Финансовые гарантии у туроператора внушительные - на 100 миллионов рублей. И оформлены в солидной страховой компании ""РЕСО-гарантия"". Так что у клиентов лопнувшей компании есть шанс вернуть деньги за испорченный или не состоявшийся отпуске. По предварительным данным, на заграничных курортах сейчас находятся около 10 тысяч клиентов ""Южного Креста"", сообщила ""Комсомолке"" руководитель пресс-службы Ростуризма Ирина Щеголькова. - В четверг соберется наблюдательный совет ассоциации ""Турпомощь"", будут составлены списки туристов, которые остались за границей без обратных билетов, - продолжает Щеголькова. Без эвакуационных рейсов ""Турпомощи"" снова не обойтись: авиакомпания ""Ютэйр"" уже отменила чартеры, заказанные ""Южным Крестом"". Еще 28 тысяч человек оплатили поездки в бархатный сезон и на Новый год. Туры были проданы вплоть до марта 2015 года! Получается, по числу сорванных и испорченных отпусков ""Южный Крест"" уступает только ""Лабиринту"", от краха которого пострадали около 60 тысяч человек. Проблемы ""Невы"" коснулись примерно 22 тысяч туристов. У ""Южного Креста"" в общей сложности почти 40 тысяч пострадавших.  Фото: Екатерина МАРТИНОВИЧ ВОПРОС ДНЯ Как вы теперь будете организовывать свой отдых? Екатерина ИВАНОВА, пострадавший клиент турфирмы «Лабиринт», Ростов-на-Дону: - Я в растерянности - а вдруг все турфирмы на ладан дышат? И кто компенсирует наши затраты и унижения? Нам вместо 120 тысяч рублей за 3 путевки страховая компания вернула всего 9 тысяч. И, похоже, этим там решили ограничиться. Илья ВАРЛАМОВ, фотограф и блогер, за 7 лет посетил 185 стран мира: - Никогда не обращался в турфирмы. По интернету можно самому подбирать варианты своего отдыха на 20 - 30% дешевле, чем у туроператоров. И не шаблонный тур, а что-то нестандартное! И это занимает... ну, полчаса, час. Леонид ЯРМОЛЬНИК, актер и продюсер: - Отдыхаю редко, и это очень помогает быть независимым от провалившихся турфирм! Но то, что они закрываются, - это ужасно. Это говорит о том, как прессуют Россию. Денис МАЦУЕВ, пианист: - Я не совсем понимаю, почему закрываются турфирмы. Даже в кризисный 2008 год они не рушились так, как сейчас. Санкции здесь ни при чем. Денег у людей за лето меньше не стало. С визами проблем нет. Возможно, закрываются те, у кого бизнес содержит элементы «МММ»? А сам я отдыхаю на Байкале и в своем родном Иркутске. Владимир ГУТОРОВ, директор турфирмы «Горизонт-Экстрим»: - А я круглый год - в экстремальных походах - на лыжах, на байдарках, пешком... Куда надежнее, чем за рубеж летать. Да и потом, знаете, боюсь я всяких гадов - скорпионов там, лихорадку Эбола. Лучше уж с рюкзачком и в горы… Николя БЕРНЬЕ, учитель французского: - Надо самим везде ездить! Так дешевле. К примеру, тур в Москву из Франции стоит почти 2 тысячи евро. Я все сделал сам и приехал за тысячу. Анна ФРОЛОВЦЕВА, заслуженная артистка РФ, свекровь из сериала «Воронины»: - На отдыхе нельзя экономить. Лучше чуть переплатить, но обратиться в надежную, проверенную фирму. Я давно езжу отдыхать от крупной компании, летом была в Греции и Эмиратах. Григорий МИГУНОВ, слушатель Радио «КП» (97,2 FM): - Какие турфирмы? Сейчас грибы пошли - опята и подосиновики ведрами собираю. Такой красоты в Египте не найти!";1
Ученые близки к разгадке тайны скрытой комнаты в гробнице Тутанхамона;"Просканировав гробницу Тутанхамона, ученые заявили о ""90-процентной уверенности"" в том, что за одной из стен скрыта потайная комната, в которой, вероятно, захоронена царица Нефертити. После изучения гробницы фараона Тутанхамона в Долине Царей на юге Египта с помощью современной техники ученые с большей уверенностью заявляют о возможном обнаружении усыпальницы царицы Нефертити, передает Рейтер. Ученые проверяют сенсационную теорию британского археолога Николаса Ривза, который предположил, что утерянная гробница одной из величайших и красивейших цариц Древнего Египта Нефертити, умершей за десять лет до трагической гибели своего приемного сына фараона Тутанхамона, находится за ложной северной стеной гробницы Тутанхамона. На это, по утверждению Ривза, указывает множество фактов, в том числе продолжающийся за северной стеной потолок, который указывает на потайную камеру, ранее являвшуюся, по всей вероятности, частью единого погребального зала. По мнению Ривза, после внезапной гибели молодого 19-летнего фараона, правившего всего девять лет, его захоронили в гробницу приемной матери, поскольку собственную усыпальницу для него построить не успели. ""Ранее мы говорили, что вероятность того, что за стенами что-то есть, составляет 60%. Но теперь, после первоначального изучения результатов сканирования, мы заявляем с 90-процентной уверенностью, что за стенами что-то находится"", — заявил министр памятников древности и культурного наследия Египта Мамдух ад-Дамати. ""Судя по данным радара, которые являются очень точными, за стеной есть пустое пространство, в этом нет сомнений"", — прокомментировал японский специалист Хирокатсу Ватанабе. Новые данные, полученные в результате сканирования, будут направлены на анализ в Японию. Ожидается, что окончательные результаты будут объявлены в течение месяца. Почти нетронутую грабителями гробницу Тутанхамона обнаружил археолог Говард Картер в 1922 году. Эта находка стала одной из главных сенсаций в египтологии за все время. Нефертити, которую считают приемной матерью Тутанхамона и женой фараона Эхнатона, являлась одной из самых влиятельных и красивых женщин своего времени. Ученые до сих пор так и не смогли разгадать загадку места упокоения царицы, чье имя переводят как ""Прекрасная пришла"".";0
Владельцы PS4 и PS5 пожаловались на работу официального российского сайта PlayStation — начались сбои;"Официальный российский сайт PlayStation по неизвестной причине перестал полноценно работать. Технически сам сайт все еще открывается, однако при попытке зайти в некоторые разделы, например, посвященные консоли PlayStation 5, гарнитуре PlayStation VR или играм для PS4, пользователя автоматически перенаправляет на страницу службы поддержки. Никаких ошибок при этом не высвечивается, поэтому с чем именно связана проблема, сказать пока сложно. Если дело не в техническом сбое, то начавшееся отключение сайта может быть продолжением санкционной политики Sony по отношению к России из-за событий на территории Украины. Ранее компания приостановила в России продажу всей продукции PlayStation, временно запретила любые операции в PS Store, в том числе через мобильное приложение, а также прекратила прокат своих новых фильмов в кинотеатрах. Под запрет даже попал цифровой релиз ""Человека-паука: Нет пути домой"".";1
Разлив нефтепродуктов произошел в Новосибирской области;Спасатели ликвидируют последствия разлива нефтепродуктов на площади около 100 кв. метров вдоль береговой линии на частично обмелевшей протоке Оби в Колыванском районе Новосибирской области, сообщили в пресс-службе ГУ МЧС по области. «Накануне, 12 сентября, в 11.30 (мск) от очевидца поступило сообщение, что на берегу о. Рыбачий Колыванского района в лужах на частично обмелевшей протоке реки Обь было обнаружено загрязнение береговой линии нефтепродуктами на площади около 100 кв. метров», – говорится в сообщении на сайте регионального главка. Видео дня Предварительно установлено, что радужные пятна на реке могли образоваться от баржи, которая находится на данный момент на утилизации. Спасатели установили на данном участке боновые заграждения длиной восемь метров. В понедельник пройдет заседание комиссии по чрезвычайным ситуациям и обеспечению пожарной безопасности для принятия решения по сбору и утилизации загрязненного грунта и проведению рекультивационных работ. Напомним, 7 августа залповый выброс нефти с греческого танкера «Минерва симфони» произошел в Черном море под Новороссийском при погрузке с терминала Каспийского трубопроводного консорциума (КТК). Отмечалось, что владелец консорциума создал оперативный штаб, подтянул профессиональные подразделения, которые базируются на терминале, и занимается устранением последствий. После изучения спутниковых снимков российскими учеными стало понятно, что разлив нефти в районе Новороссийска оказался в 400 тыс. раз масштабнее первоначальных оценок. Главный научный сотрудник Института океанологии РАН Андрей Костяной заявил, что шторм возле Новороссийска, случившийся несколько дней назад, способствовал распространению пятна нефтепродуктов в море, однако спас побережье, которому не потребуется серьезная очистка. В КТК утверждают, что разлив нефти в порту Новороссийска мог произойти из-за разрушившегося гидрокомпенсатора на нефтеналивном терминале Каспийского трубопроводного консорциума (КТК), это могло случиться из-за заводского брака. После разлива нефти у Новороссийска возбуждено уголовное дело о загрязнении морской среды, его передали в западное следственное управление на транспорте. Позже статью переквалифицировали на более тяжелую.;1
История моего увлечения ККИ;Hearthstone, Magic: the gathering, Gwent, Legends of Runeterra и другие коллекционные карточные игры, в которые я успел поиграть за свои почти 20 лет жизни. Введение. В своей жизни я пробовал много разных видов спорта и хобби, в том числе занимался пинг-понгом, моделированием, 3Д моделированием на компе, программированием. Если с последним я планирую связать свою будущую работу, то вот с остальным у меня как-то не сложилось, и я уже этим давно не интересуюсь. Но с самого детства я увлекался ещё одной вещью — коллекционными карточными играми, и это хобби со мной до сих пор. Так что в данной статье вас ждёт экскурсия по всевозможным ККИ (именно так я буду дальше шифровать коллекционные карточные игры, ибо привык), как бумажным так и электронным. Устраивайтесь поудобнее и готовьтесь погружаться в мою жизнь! Детство. Первое моё знакомство с ККИ произошло ещё в глубоком детстве, когда мне было лет 5-6. Тогда мама мне впервые купила бустер (набор случайных карт) ККИ по вселенной Marvel. Разумеется, я понятия не имел какие у этой игры правила и как вообще в неё играть, но это было не главное — проснулся азарт собрать их все. Однако к тому моменту это уже практически не представлялось возможным, так как в нашем маленьком городке именно эта ККИ довольно быстро исчезла. Тогда я уговорил родителей купить мне какое-то количество бустеров по набиравшей популярность русской игре «Берсерк». Её правила я уже смог осилить. Сам не представляю каким образом, ибо они и сейчас-то мне кажутся тяжёлыми, а факт того, что в 7 лет я умел даже побеждать в ней в онлайне меня поражает. Да, тогда помимо печатной версии я точно помню, что существовала электронная, но прожила она недолго. А поскольку мои сверстники, очевидно, таким не интересовались, я довольно быстро забил болт на эту игру, переключившись на что-то более простое и попсовое. Так вот, в то время чуть ли не все поголовно начали собирать ККИ по черепашкам-ниндзя, бустеры к которой тогда продавались чуть ли не в каждом ларьке. И разумеется, я тоже начал её коллекционировать. А на переменах мы с одноклассниками в неё даже играли по каким-то своим правилам. Понятия колоды фактически не существовало, все играли всей своей коллекцией сразу. Зато было весело, а в оставшееся время мы занимались самым главным — обменивались карточками. В «Черепашках-ниндзя» очень ярко была выражена редкость карт. Были обычные, редкие, супер редкие и ультраредкие. В одном из сетов (наборов карт) ещё появились серебристые. Обычные ничем не выделялись, тупо представляя из себя картон с рисунком. Редкие блестели и переливались. Сейчас я уже знаю, что такое называется фойлированием и оно бывает разным, но тогда все просто называли их блестящими. Супер редкие обладали каким-то эффектом, какие-то светились в темноте, какие-то пахли, если их потереть. Как сейчас помню, там была карта, которая представляла из себя пиццу и должна была ей пахнуть, но этот запах скорее напоминал трижды пережёванный картон, а на пиццу был похож лишь супер отдалённо. Иметь такие карточки в коллекции уже было забавно и престижно. Ультра редкие же были ещё престижнее, ибо встречались крайне редко, да ещё и среди них была одна невероятная — «сила четверых». Все цифры на ней были максимальными, а она сама была фойлирована другим способом, как впрочем и все ультра редкие карточки. Но самым главным в ней было то, что она представляла собой всех четырёх главных героев «Черепашек-ниндзя». У нас в классе она была всего у одного человека и каждый очень хотел её заполучить. А я смог, обменяв свою небольшую коллекцию «Берсерка» на неё :D Сейчас уже понимаю, насколько это было тупо, но тогда был точно уверен, что игра стоит свеч и надо соглашаться, пока предлагают. Про серебристые сказать особо нечего. Честно говоря, вспомнил об их существовании лишь сейчас, когда покопался в коллекции. Но выглядят красиво, признаю. Забавно, что наименее редкие карты самые не потрёпанные, а остальные убитые чуть ли не в хлам. Сразу видно, какие из них больше нравились). И перед тем как мы перейдём к следующему блоку хочется упомянуть ККИ по трансформерам, которую я тоже в своё время собирал. Она не была интереснее черепах, да и по сути являлась практически тем же, но собирал я её долго и много, хоть и не могу конкретно вспомнить как это выглядело. Её коллекция у меня тоже сохранилась, даже в более удовлетворительном состоянии, чем черепахи. У них ещё декбокс (коробочка) интересный был, с мягкими стенками и отдельным отделением на дне для редких карточек, забавное решение. И ультра редкие работали иначе, они были типо анимированными и толстыми, что кстати выделяло их в колоде и из-за этого их можно было считать мечеными, но кого это волнует, когда и правил-то толком нету? Юношество. По сути, трансформеров я начал собирать как раз в этом возрасте, но на самом деле этот период моей жизни более ценен другим — знакомство с электронными ККИ. А началось оно с моего знакомства с Magic: the gathering. Познакомил меня с ней мой давний друг Дима, который вместе со своим папой её коллекционировал. Даже в клубе соответствующем бывал. Но играть в неё он меня не смог научить, ибо я по какой-то причине не мог понять правила. Возможно, механика земель мне казалось странной, а ещё ведь колоды собирать надо было. Но всё же игру я потом освоил, приобретя в стиме электронную версию 2014 года под названием Magic 2014, как ни странно. Прошёл я её полностью, всю сюжетную часть и даже все испытания, но в мультиплеер практически не играл, ибо в первой же игре в него меня уничтожили и желание возвращаться туда отпало. А ещё больше это желание отбило моё знакомство с замечательным казино в мире ККИ под названием Hearthstone. Причём изначально игра мне не понравилась и я надолго в ней не задержался, ибо там было сложно получать новые карточки. Из-за этого приходилось играть на ужасных стартовых колодах, которыми победить хоть кого-то было возможно максимум раз в 10 игр. Происходило это ещё во времена актуальности сета «Большой турнир», то есть в 2015 году. Вернулся я в Hearthstone аккурат перед выходом нового аддона, который назывался «Рыцари ледяного трона». Было это в 2017 году, так что 2 года я практически не играл в ККИ, разве что изредка поигрывая против ботов в Magic. Новый аддон в Hearthstone поглотил меня полностью, и в то время я чуть ли не целыми сутками играл в него. Тогда же из бустера я получил первую карту легендарной редкости (а в хартстоуне редкости следующие: обычная, редкая, эпическая, легендарная. Последних можно положить лишь одну штуку в колоду, а остальных по две), но она была просто отвратительной. Помню как тогда расстроился, но пытался использовать её во всех колодах. Выходило неудачно, а её эффект никогда не срабатывал. В итоге я просто на неё забил и продолжил играть. Благодаря этому через пару месяцев я смог собрать конкурентоспособную колоду шамана на эволюции. Как сейчас помню её способ победы — пятый ход, монетка, доппельгангстеры, эволюция. А дальше остаётся только молится, чтобы попались хорошие существа, ведь эффект эволюции рандомен и непредсказуем. Благодаря этой колоде я смог добраться до 10 ранга (там раньше было 25 рангов, и ты двигался от 25 к 1, а после был ранг легенда), что не очень большой результат, однако среди моих друзей никто выше особо и не забирался никогда, так что я чувствовал себя на коне. Но продвинуться дальше я так и не смог, потому что не было уже достаточно одной надежды на рандом и сильный пятый-шестой ход. Примерно тогда я купил целиком все крылья приключения «Вечеринка в Каражане» и пробовал из полученных карточек собрать что-то более интересное и серьёзное. Тут наверное стоит пояснить, как работала та система: ты покупал приключение, проходил на своих колодах битвы против ботов и за победы получал определённые карточки, а не случайные, как в бустерах. Таким образом, покупая приключение — ты гарантированно покупал все его карты целиком. Так вот, из всех легендарок приключения больше всего мне приглянулся Барнс и идея собрать колоду на больших существах. Однако поиск карт для неё затянулся и я потихоньку забил на хартстоун. Всё ещё люблю эту игру, слежу за новыми дополнениями и стримами по ней, да и сам изредка захожу поиграть в новые режимы. «Дуэли», например, мне очень нравятся, в них можно приятно проводить время, если есть коллекция. Но на самом деле, считаю Hearthstone одним из слабейших представителей среди современных аналогов, о которых речь пойдёт дальше. Старшая школа. Вместе с переходом в старшую школу я перешёл в другой класс. Проблемы с общением проявлялись у меня и до него, но тут я ощутил их с новой силой. Стоит сказать, что жилось мне с этим нормально, ибо у меня хватало друзей в сети и живое общение меня особо не интересовало. Но в какой-то момент я понял, что нужно бы как-то общаться со сверстниками и тогда впервые решил сходить в клуб «Хитрый ёж», в котором каждую неделю проводили турниры по Magic: the gathering. А вы помните, что я в ней что-то да смыслил, но впервые заглянул на так называемый новичковый турнир, потому что колода у меня была стартовая. Но тут мы немного отвлечёмся, ибо надо же понять откуда она у меня и что предшествовало её покупке. Так вот, изначально меня заинтересовала ККИ по покемонам, по которой мы с братом купили стартовые колоды. Я очень хотел поучаствовать в турнирах по ней, но в Ижевске их тупо не было. Расстроившись, я оставил колоду пылиться на полке, а нормально поиграл в игру лишь несколько лет спустя в онлайне со своим другом Prompter-ом. Он не очень любит ККИ, но к покемонам относится хорошо, так что согласился попробовать. Оказалось, что она не менее рандомна, чем хартстоун, только все случайные эффекты тут делались броском монетки, что ещё больше утомляло. Так что даже хорошо, что турниров по ней оказалось. Кхм, мы отвлеклись! Вернёмся к MTG (так обычно сокращают Magic: the gathering, так что далее буду называть так). Было лето, я сидел дома и скучал. Тогда кто-то из знакомых мне сказал, что вот, недавно вышел сет Иксалан, посмотри какой он классный! А там и правда мир интересный, джунгли с племенами, похожими на ацтеков или майя, но при этом с динозаврами, вампирами и пиратами. Звучит как адовейшая солянка, однако как же интересно было вникнуть в новые механики, карты, а в последствии и историю мира. Тогда же я впервые узнал о замечательных картах мироходцев, существование которых вообще сносило крышу. Стоит ли говорить, что мне очень захотелось себе стартовую колоду? С выбором я долго не мучался, хотя он тогда был действительно большой, в одном лишь актуальном тогда базовом сете 2019 года их было 5. Но в magic 2014 я обожал играть зелёным цветом (в mtg 5 цветов: белый (про кучу существ и восстановление жизней), чёрный (про смерть существ, убийства и потерю собственных жизней), синий (про коварные трюки, слабых существ, и дешёвые карты, позволяющие перебирать колоду), красный (про агрессивные карты, стремящиеся как можно быстрее убить оппонента) и зелёный (про дорогих существ и быстрые способы их выставить)). В общем, купил я тогда колоду некой Вивьен и пару бустеров впридачу. Тогда я знать не знал, что это за мироходец такой, ибо в этом сете было её первое появление. Но зато в бустерах попалась довольно интересная карта, некое фойловое «Гибельное поле». Тогда я толком не смог загуглить её цену, ибо понятия не имел где там их смотрят. Однако она меня приятно удивила, но об этом позже. Так вот, с этой колодой я пришёл на новичковый турнир. Как мне уже потом рассказали, она, по сути, являлась колодой «всё или ничего». Ибо её целью было как можно быстрее выставить на стол всю стартовую руку и быстро закрыть партию. Мне видимо повезло, потому что первые 2 партии, а их там ровно 3, я закрыл в хлам и даже толком не помню своих оппонентов. Да и третья началась хорошо, я даже смог выиграть первый матч (там игра идёт до двух побед одного из игроков, best of 3 в общем). Но потом мне показали истинную силу сайдборда. Что же такое сайдборд? Это 15 карт, а колода состоит из 60, которые ты можешь добавлять в свою колоду между партиями, чаще всего туда кладут какие-то функциональные карты против конкретных колод соперника. И оставшиеся 2 партии уже меня полностью уничтожали вражеские вампиры. Однако не это главное — все люди там были очень дружелюбными и приветливыми, так что даже мне, социофобу, было находиться там приятно. А уж сотрудник по имени Никита так и вовсе спокойно помогал всем новичкам освоиться, без проблем отвечая на все возникающие вопросы. Так я и втянулся во всю эту тусовку. Что примечательно, почти все люди там были старше меня, что вы увидите дальше на фотках, и именно с ними мне и было комфортно общаться. Так что с одноклассниками я так толком и не подружился, лишь убедившись, что мне оно не особо-то и надо. А поскольку новичковые турниры проходили по средам, я старался сделать все свои дела на неделю до этого дня, чтобы всегда иметь время на mtg. Так я познакомился со многими классными игроками Ижевска, в том числе со вторым сотрудником «Хитрого ежа» по имени Олег. В общем, именно их доброта и создаваемая в клубе атмосфера уюта помогли мне побороть социофобию и начать контактировать с людьми в реальной жизни. Вы ещё помните моё «гибельное поле»? Так вот, Никита предложил мне выставить его на аукцион, потому что людям может быть интересно. И да, так и вышло. Как сейчас помню, карта ушла с молотка аж за 1400 рублей. Огромные деньги для школьника. И я их не потратил впустую, а купил на них адекватный НЕметаллический декбокс, потому что в металлических края карт быстро изнашиваются, и пачку хороших, как мне казалось на тот момент, протекторов. Протекторы — это такие пакетики для карт, позволяющие держать их в сохранности долгие годы. Чаще всего люди используют двойное протектирование, о котором я тогда не знал. Как это работает объяснять не буду, лучше посмотрите коротенькое видео от компании Dragon shield, чьими протекторами я сам пользуюсь сейчас и всем советую. И это не реклама :) Так что если надумаете играть в бумажные ККИ, то не забывайте защищать свои карточки, а иначе их ценность упадёт в несколько раз. Поскольку дело было в конце лета, то это ознаменовывало скорый выход нового сета в MTG, ибо его релиз всегда происходит в конце сентября — начале октября. А за неделю до него, всегда происходит так называемый пререлиз. И я чертовски обожаю этот формат по нескольким причинам: 1) возможность поиграть новыми картами раньше всех, а в выходившем тогда сете «Гильдии Равники» ещё можно было выбрать любимую гильдию (комбинацию цветов) и получить особый бустер, содержащий только карты из гильдии, 2) в этом формате все равны, потому что колоду ты собираешь прямо на месте. Все игроки одновременно вскрывают 6 бустеров и из полученных карт собирают колоду в 40 карт. Не чудесно ли? 3) туда приходят все, так что это возможность схлестнуться с действительно сильными игроками города. Правда, первый пререлиз я с позором проиграл, получив лишь одну техническую победу из четырёх матчей) Это было грустно, потому что за каждую победу давали целый бустер, а за все 4 ещё и бонусный, содержащий только фойловые карты. Но мне всё равно было весело и появился стимул играть в MTG больше и особенно в так называемый Limited формат. К нему, помимо используемого в пререлизе «силеда» относится ещё и «драфт», на которых я и стал тренироваться. Драфт — формат, в котором все получают по три бустера, после чего вскрывают один из них, выбирают оттуда одну карту и остальные передают соседу слева. Так происходит до конца первого бустера, после чего все вскрывают второй и процесс повторяется. В итоге у каждого игрока оказывается 45 карт, из которых нужно собрать колоду в 40, но по факту все будут использовать ±25 из выбранных, потому что в mtg очень специфичная система маны, про которую вы можете спросить меня в комментариях, если вам интересно. Так вот, помимо обычных новичковых турниров, к которым я потихоньку собирал колоду в совершенно необычных для меня цветах (сине-красную), я стал посещать новичковые драфты. И я просто обожаю этот формат, потому что он создаёт то прекрасное ощущение, когда все играют говном и никто не обделён. Вот так, несколько раз сходив на этот драфт, перед следующим пререлизом я чувствовал себя готовым. Но на нём я сыграл всего лишь чуточку лучше, всего лишь сделав 2 победы, одна из которых была технической. Знаменательно тут было то, что я победил отца моего друга, который играет в MTG намного дольше меня. Это было чертовски неожиданно и приятно. В формате же новичковых турниров я, наконец, собрал колоду иззетов (сине-красную) и начал собирать ещё одну — марду аристократов. Я рассказываю про неё отдельно, ибо в будущем именно эта комбинация цветов, а марду — это красный, чёрный и белый, стала моей любимой. Сама же колода работала просто: ставишь существ, жертвуешь их, получаешь за это плюшки, а потом возвращаешь их с кладбища и повторяешь процесс, пока враг не умрёт. Сильным этот архетип на тот момент не был, зато играя на нём я получал массу удовольствия. По итогу с этой колодой я пару раз показывал хорошие результаты на FNM (friday night magic — еженедельный турнир, в котором участвуют все) и даже решился сходить с ней на чемпионат магазина. Там я с треском проиграл, заняв предпоследнее место. Ну что ж, был повод тренироваться! И вот так целых 2.5 года я стабильно практически каждую неделю играл в MTG в «Хитром еже», а в какой-то момент даже начал хорошо отыгрывать пререлизы, делая по 3 победы. Это было замечательное время, а я подружился со многими завсегадатаями клуба и некоторые новички меня даже боялись. И вот, наступает 2020 год. В апреле которого должен был состояться релиз нового интересного сета, который авторы назвали «Mystery booster». В нём было примерно 2000 карт, собранных со всей 25 летней истории MTG, и авторы заявляли, что это идеально подходит для драфтов. И это правда выглядело так, а забавные карты-скетчи должны были ещё больше разнообразить геймплей. Но в итоге в сет я так и не сыграл. Потому что случился covid. Его начало как раз пришлось на релиз сета, и тогда бумажная MTG впала в анабиоз, из которого до сих пор не выбралась. Да, все фотки выше уже двухгодичной давности, а «Хитрый ёж» всё это время не функционирует как клуб. Последний свой пререлиз я сыграл осенью 2020, и было это чуть ли не подпольно в другом, ныне почившем, ижевском клубе под названием OMGift. Оппоненты там были сильно слабее и я без особых проблем практически сделал 4 победы, допустив лишь одну суровую ошибку в последнем матче, за которую меня и наказали. И всё, на этом магия умерла. Да, у нас до сих пор продолжает функционировать один клуб, буквально расположенный в подвале, турниры которого я даже изредка посещаю. Но это всё уже не то, а лишь жалкие осколки того величия, когда на пререлизах бывало по 30 человек… Сейчас же тяжело представить себе турнир хотя бы с 10 людьми. Всё ещё надеюсь, что однажды «Хитрый ёж» восстанет из пепла и я смогу вновь окунуться в эту атмосферу, но с началом 2022 года эти шансы вновь стремительно поползли вниз… Эпоха ковида. И хоть я до сих пор скучаю по магии, отчаиваться я не стал. Тем более что в 2020 году одни из моих любимых разработчиков «Riot games» выпустили свою ККИ и назвали её Legends of Runeterra. Новость о её анонсе меня сходу заинтересовала и я даже умудрился получить доступ к закрытому бета тесту. И в этой игре действительно было прекрасно всё: необычный геймплей и интересная механика чемпионов, доступный способ пройти в киберспорт, вшитый в саму игру, отличный синглплеерный контент, использование известной вселенной и самое главное — лёгкий способ пополнять коллекцию. Да, LOR — одна из двух ККИ в которую можно действительно играть бесплатно, причём на самых топовых колодах. Для этого нужно не так много времени и сил, и даже без собранной колоды там есть чем заняться. Этим всем меня игра и зацепила, так что я в ней проводил и провожу много времени, хоть сейчас мой интерес немного и подспал. В это же время я впервые попробовал поиграть в другой тип карточных игр — так называемые «живые карточные игры» или ЖКИ. По своей сути, от ККИ они мало чем отличаются. Тебе также нужно собирать колоду, также нужно искать к ней карточки, но в ЖКИ нет бустеров — ты покупаешь её сразу целыми дополнениями, так что и редкость карт там тоже отсутствует, как и вторичный рынок. Так мы всё с тем же Prompter-ом попробовали сыграть в Android: netrunner, оказавшийся любопытной ассиметричной игрой с огромным разнообразием. Там фишка была в том, что один игрок играет за «бегуна», того самого «netrunner» из подзаголовка, а второй за корпорацию. Задание первого — вынести данные из корпорации, а задание второго их, как не странно, защитить. И играть в это было чертовски интересно, хотя мы так и не попробовали фанатские сеты. Зато попробовали ещё одну игру маэстро Ричарда Гарфилда, под названием Keyforge. Кстати, именно Ричард Гарфилд является автором MTG и Android:netrunner, а механики в обоих проектах очень уникальные и интересные. Так вот, Keyforge уникален тем, что там не нужно собирать колоды. Да-да, в ней продаются не бустера, а сразу готовые колоды, собранные по какому-то алгоритму искусственным интеллектом. Причём авторы заявляют, что во всех их колодах присутствуют синергии, которые становятся заметны только после нескольких партий на ней. И это действительно так. Таким образом игра зацепила нас довольно сильно и мы чуть ли не целую неделю безвылазно играли в неё в онлайне, пробуя всё новые и новые колоды. Где-то там же я освоил правила Гвинта и тоже начал изредка в него поигрывать, но это уже не так интересно. Так что на этом история подходит к своему завершению. Наши дни \ концовка. Сейчас на дворе 2023 год и я всё ещё обожаю ККИ, периодически заглядывая в клуб Lucky Dwarf, чтобы сыграть партеечку в MTG в обожаемом мною формате EDH. В общем, всё вокруг меняется, а хобби остаётся. Надеюсь, что вам было интересно читать все эти внезапные 3000 слов, ибо я-то планировал написать небольшую статейку для своих, но опомнился лишь когда уже было больше 2000 слов и куча всего для рассказа. Из-за этого некоторые моменты я опустил, чтобы не делать это полотно слишком уж длинным. Спасибо за прочтение! Ещё увидимся.;0
